"CASE_ID","CASE_PARTICIPANT_ID","RECEIVED_DATE","OFFENSE_CATEGORY","DIVERSION_PROGRAM","REFERRAL_DATE","DIVERSION_COUNT","PRIMARY_CHARGE_OFFENSE_TITLE","STATUTE","RACE","GENDER","DIVERSION_RESULT","DIVERSION_CLOSED_DATE"
"380,202,605,665","5,162,257,575,272","2019 Aug 01 12:00:00 AM","Narcotics","MHC","2022 Mar 31 12:00:00 AM","1","[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/ DELIVERY OF A CONTROLLED SUBSTANCE]","720 ILCS 570/401(d)(i)","Black","Male","Graduated","2023 Nov 07 12:00:00 AM"
"380,202,605,665","5,162,258,128,770","2019 Aug 01 12:00:00 AM","Narcotics","MHC","2022 Mar 31 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","Black","Male","Graduated","2023 Nov 07 12:00:00 AM"
"380,634,397,807","5,171,467,228,150","2019 Aug 30 12:00:00 AM","Aggravated Fleeing and Eluding","RJCC","2022 Mar 31 12:00:00 AM","1","AGGRAVATED FLEEING OR ATTEMPT TO ELUDE A PEACE OFFICER","625 ILCS 5/11-204.1(a)(4)","Black","Male","Graduated","2024 Feb 29 12:00:00 AM"
"383,782,133,196","5,239,696,370,568","2020 Apr 21 12:00:00 AM","Possession of Stolen Motor Vehicle","RJCC","2022 Mar 31 12:00:00 AM","1","POSSESSION OF A STOLEN MOTOR VEHICLE","625 ILCS 5/4-103(a)(1)","Black","Male","Graduated","2024 Feb 29 12:00:00 AM"
"388,776,363,235","5,354,928,007,894","2021 Aug 02 12:00:00 AM","Narcotics","ACT","2022 Mar 31 12:00:00 AM","1","[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/DELIVERY OF A CONTROLLED SUBSTANCE]","720 ILCS 570/401(c)(1.5)","Black","Male",,
"388,921,696,285","5,358,568,917,603","2021 Aug 17 12:00:00 AM","Narcotics","ACT","2022 Mar 31 12:00:00 AM","1","[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/ DELIVERY OF A CONTROLLED SUBSTANCE]","720 ILCS 570/401(d)(i)","Black","Male","Graduated","2023 Jun 09 12:00:00 AM"
"390,047,644,969","5,383,699,939,857","2021 Dec 22 12:00:00 AM","Narcotics","RJCC","2022 Mar 31 12:00:00 AM","2","POSSESS 15+ GRAMS HEROIN","720 ILCS 570/402(a)(1)","Latinx","Male","Graduated","2024 Jun 27 12:00:00 AM"
"390,182,779,209","5,386,708,754,873","2022 Jan 12 12:00:00 AM","UUW - Unlawful Use of Weapon","DDPP","2022 Mar 31 12:00:00 AM","1","AGG UUW/VEHICLE/LOADED FIREARM","720 ILCS 5/24-1.6(a)(1)","Biracial","Male",,
"390,714,519,694","5,398,284,058,115","2022 Mar 09 12:00:00 AM","Narcotics","DDPP","2022 Mar 31 12:00:00 AM","1","POSSESSION OF A CONTROLLED SUBSTANCE","720 ILCS 570/402(c)","Latinx","Female","Failed","2022 Oct 21 12:00:00 AM"
"390,950,367,188","5,403,584,354,766","2022 Mar 31 12:00:00 AM","Narcotics","DC","2022 Mar 31 12:00:00 AM","1","[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/ DELIVERY OF A CONTROLLED SUBSTANCE]","720 ILCS 570/401(d)(i)","Black","Male",,
"392,105,764,937","5,428,351,175,350","2022 Jul 18 12:00:00 AM","Retail Theft","ACT","2022 Mar 31 12:00:00 AM","1","RETAIL THEFT","720 ILCS 5/16-25(a)(1)","Black","Male","Graduated","2023 Sep 08 12:00:00 AM"
"385,376,334,769","5,278,629,418,436","2020 Sep 30 12:00:00 AM","Vehicular Hijacking","MHC","2022 Apr 01 12:00:00 AM","1","ATTEMPT VEHICULAR HIJACKING","720 ILCS 5/8-4(18-3(a))","Black","Male",,
"386,360,137,532","5,301,095,901,418","2020 Dec 30 12:00:00 AM","Aggravated Battery Police Officer","MHC","2022 Apr 01 12:00:00 AM","1","AGGRAVATED BATTERY","720 ILCS 5/12-3.05(d)(4)","Black","Male",,
"386,400,805,289","5,301,906,222,460","2021 Jan 04 12:00:00 AM","Aggravated Battery Police Officer","MHC","2022 Apr 01 12:00:00 AM","1","AGGRAVATED BATTERY","720 ILCS 5/12-3.05(d)(4)","Black","Male",,
"386,525,103,292","5,304,593,455,149","2021 Jan 14 12:00:00 AM","Aggravated Battery Police Officer","MHC","2022 Apr 01 12:00:00 AM","1","AGGRAVATED BATTERY","720 ILCS 5/12-3.05(d)(4)","Black","Male",,
"386,830,430,183","5,311,243,179,873","2021 Feb 10 12:00:00 AM","Narcotics","SEED","2022 Apr 01 12:00:00 AM","1","[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/DELIVERY OF A CONTROLLED SUBSTANCE]","720 ILCS 570/401(a)(1.5)(A)","Black","Male","Failed","2022 Jul 12 12:00:00 AM"
"388,627,970,541","5,351,781,371,882","2021 Jul 19 12:00:00 AM","Burglary","MHC","2022 Apr 01 12:00:00 AM","1","BURGLARY","720 ILCS 5/19-1(a)","Black","Male",,
"390,138,669,353","5,385,706,923,530","2022 Jan 06 12:00:00 AM","UUW - Unlawful Use of Weapon","RJCC","2022 Apr 01 12:00:00 AM","1","AGG UUW/LOADED/NO FCCA/FOID","720 ILCS 5/24-1.6(a)(1)","Black","Male",,
